county,ward,office,district,total.votes,party,candidate,votes
Brown,Village Of Howard Ward 1,State Assembly,89,145,DEM,Karl Jaeger,55
Brown,Village Of Howard Wards 3-4,State Assembly,89,168,DEM,Karl Jaeger,88
Brown,Village Of Howard Ward 6,State Assembly,89,170,DEM,Karl Jaeger,75
Brown,Village Of Howard Ward 12,State Assembly,89,156,DEM,Karl Jaeger,59
Brown,Village Of Howard Wards 13-14,State Assembly,89,390,DEM,Karl Jaeger,171
Brown,Village Of Suamico Wards 1-4,State Assembly,89,1402,DEM,Karl Jaeger,522
Brown,Village Of Suamico Wards 5-8,State Assembly,89,1796,DEM,Karl Jaeger,619
Marinette,Town Of Grover Wards 1-3,State Assembly,89,496,DEM,Karl Jaeger,106
Marinette,Town Of Peshtigo Wards 1-6,State Assembly,89,1268,DEM,Karl Jaeger,543
Marinette,Town Of Pound Wards 1-3,State Assembly,89,301,DEM,Karl Jaeger,74
Marinette,Village Of Coleman Ward 1,State Assembly,89,160,DEM,Karl Jaeger,49
Marinette,Village Of Pound Ward 1,State Assembly,89,57,DEM,Karl Jaeger,11
Marinette,City Of Marinette Wards 1-8,State Assembly,89,1696,DEM,Karl Jaeger,864
Marinette,City Of Peshtigo Wards 1-2,State Assembly,89,212,DEM,Karl Jaeger,83
Marinette,City Of Peshtigo Wards 3-5,State Assembly,89,284,DEM,Karl Jaeger,94
Marinette,City Of Peshtigo Wards 6-7,State Assembly,89,271,DEM,Karl Jaeger,106
Oconto,Town Of Abrams Wards 1-3,State Assembly,89,472,DEM,Karl Jaeger,155
Oconto,Town Of Little River Wards 1-2,State Assembly,89,277,DEM,Karl Jaeger,72
Oconto,Town Of Little Suamico Wards 1-8,State Assembly,89,1114,DEM,Karl Jaeger,343
Oconto,Town Of Oconto Wards 1-3,State Assembly,89,355,DEM,Karl Jaeger,97
Oconto,Town Of Pensaukee Wards 1-2,State Assembly,89,356,DEM,Karl Jaeger,110
Oconto,Town Of Stiles Wards 1-2,State Assembly,89,478,DEM,Karl Jaeger,128
Oconto,City Of Oconto Wards 1-7,State Assembly,89,844,DEM,Karl Jaeger,308
Oconto,City Of Oconto Falls Ward 6,State Assembly,89,0,DEM,Karl Jaeger,0
Brown,Village Of Howard Ward 1,State Assembly,89,145,REP,Elijah Behnke,89
Brown,Village Of Howard Wards 3-4,State Assembly,89,168,REP,Elijah Behnke,80
Brown,Village Of Howard Ward 6,State Assembly,89,170,REP,Elijah Behnke,95
Brown,Village Of Howard Ward 12,State Assembly,89,156,REP,Elijah Behnke,95
Brown,Village Of Howard Wards 13-14,State Assembly,89,390,REP,Elijah Behnke,218
Brown,Village Of Suamico Wards 1-4,State Assembly,89,1402,REP,Elijah Behnke,880
Brown,Village Of Suamico Wards 5-8,State Assembly,89,1796,REP,Elijah Behnke,1174
Marinette,Town Of Grover Wards 1-3,State Assembly,89,496,REP,Elijah Behnke,390
Marinette,Town Of Peshtigo Wards 1-6,State Assembly,89,1268,REP,Elijah Behnke,725
Marinette,Town Of Pound Wards 1-3,State Assembly,89,301,REP,Elijah Behnke,227
Marinette,Village Of Coleman Ward 1,State Assembly,89,160,REP,Elijah Behnke,111
Marinette,Village Of Pound Ward 1,State Assembly,89,57,REP,Elijah Behnke,46
Marinette,City Of Marinette Wards 1-8,State Assembly,89,1696,REP,Elijah Behnke,832
Marinette,City Of Peshtigo Wards 1-2,State Assembly,89,212,REP,Elijah Behnke,129
Marinette,City Of Peshtigo Wards 3-5,State Assembly,89,284,REP,Elijah Behnke,190
Marinette,City Of Peshtigo Wards 6-7,State Assembly,89,271,REP,Elijah Behnke,165
Oconto,Town Of Abrams Wards 1-3,State Assembly,89,472,REP,Elijah Behnke,317
Oconto,Town Of Little River Wards 1-2,State Assembly,89,277,REP,Elijah Behnke,205
Oconto,Town Of Little Suamico Wards 1-8,State Assembly,89,1114,REP,Elijah Behnke,771
Oconto,Town Of Oconto Wards 1-3,State Assembly,89,355,REP,Elijah Behnke,258
Oconto,Town Of Pensaukee Wards 1-2,State Assembly,89,356,REP,Elijah Behnke,246
Oconto,Town Of Stiles Wards 1-2,State Assembly,89,478,REP,Elijah Behnke,350
Oconto,City Of Oconto Wards 1-7,State Assembly,89,844,REP,Elijah Behnke,536
Oconto,City Of Oconto Falls Ward 6,State Assembly,89,0,REP,Elijah Behnke,0
Brown,Village Of Howard Ward 1,State Assembly,89,145,,Scattering,1
Brown,Village Of Howard Wards 3-4,State Assembly,89,168,,Scattering,0
Brown,Village Of Howard Ward 6,State Assembly,89,170,,Scattering,0
Brown,Village Of Howard Ward 12,State Assembly,89,156,,Scattering,2
Brown,Village Of Howard Wards 13-14,State Assembly,89,390,,Scattering,1
Brown,Village Of Suamico Wards 1-4,State Assembly,89,1402,,Scattering,0
Brown,Village Of Suamico Wards 5-8,State Assembly,89,1796,,Scattering,3
Marinette,Town Of Grover Wards 1-3,State Assembly,89,496,,Scattering,0
Marinette,Town Of Peshtigo Wards 1-6,State Assembly,89,1268,,Scattering,0
Marinette,Town Of Pound Wards 1-3,State Assembly,89,301,,Scattering,0
Marinette,Village Of Coleman Ward 1,State Assembly,89,160,,Scattering,0
Marinette,Village Of Pound Ward 1,State Assembly,89,57,,Scattering,0
Marinette,City Of Marinette Wards 1-8,State Assembly,89,1696,,Scattering,0
Marinette,City Of Peshtigo Wards 1-2,State Assembly,89,212,,Scattering,0
Marinette,City Of Peshtigo Wards 3-5,State Assembly,89,284,,Scattering,0
Marinette,City Of Peshtigo Wards 6-7,State Assembly,89,271,,Scattering,0
Oconto,Town Of Abrams Wards 1-3,State Assembly,89,472,,Scattering,0
Oconto,Town Of Little River Wards 1-2,State Assembly,89,277,,Scattering,0
Oconto,Town Of Little Suamico Wards 1-8,State Assembly,89,1114,,Scattering,0
Oconto,Town Of Oconto Wards 1-3,State Assembly,89,355,,Scattering,0
Oconto,Town Of Pensaukee Wards 1-2,State Assembly,89,356,,Scattering,0
Oconto,Town Of Stiles Wards 1-2,State Assembly,89,478,,Scattering,0
Oconto,City Of Oconto Wards 1-7,State Assembly,89,844,,Scattering,0
Oconto,City Of Oconto Falls Ward 6,State Assembly,89,0,,Scattering,0
Columbia,City Of Columbus Wards 1-8,State Senate,13,1210,DEM,Melissa Winker,703
Dane,Town Of Bristol Wards 1-4,State Senate,13,1037,DEM,Melissa Winker,552
Dane,Town Of Christiana Wards 1-2,State Senate,13,420,DEM,Melissa Winker,217
Dane,Town Of Deerfield Wards 1-2,State Senate,13,398,DEM,Melissa Winker,260
Dane,Town Of Medina Wards 1-2,State Senate,13,312,DEM,Melissa Winker,183
Dane,Town Of York Ward 1,State Senate,13,172,DEM,Melissa Winker,95
Dane,Village Of Cambridge Wards 2-3,State Senate,13,544,DEM,Melissa Winker,364
Dane,Village Of Deerfield Wards 1-3,State Senate,13,498,DEM,Melissa Winker,339
Dane,"Village Of Deforest Wards 1,3-6,15",State Senate,13,1101,DEM,Melissa Winker,717
Dane,"Village Of Deforest Wards 7-10,12",State Senate,13,725,DEM,Melissa Winker,490
Dane,Village Of Marshall Wards 1-5,State Senate,13,601,DEM,Melissa Winker,375
Dane,Village Of Rockdale Ward 1,State Senate,13,67,DEM,Melissa Winker,39
Dane,Village Of Windsor Wards 3-5,State Senate,13,666,DEM,Melissa Winker,364
Dane,City Of Sun Prairie Ward 23,State Senate,13,0,DEM,Melissa Winker,0
Dane,City Of Sun Prairie Ward 27,State Senate,13,0,DEM,Melissa Winker,0
Dodge,Town Of Ashippun Wards 1-4,State Senate,13,657,DEM,Melissa Winker,150
Dodge,Town Of Beaver Dam Wards 1-11,State Senate,13,796,DEM,Melissa Winker,400
Dodge,Town Of Clyman Ward 1,State Senate,13,187,DEM,Melissa Winker,45
Dodge,Town Of Elba Ward 1,State Senate,13,292,DEM,Melissa Winker,108
Dodge,Town Of Emmet Wards 1-2,State Senate,13,315,DEM,Melissa Winker,74
Dodge,Town Of Herman Wards 1-2,State Senate,13,263,DEM,Melissa Winker,36
Dodge,Town Of Hubbard Wards 1-6,State Senate,13,409,DEM,Melissa Winker,147
Dodge,Town Of Hustisford Wards 1-2,State Senate,13,393,DEM,Melissa Winker,86
Dodge,Town Of Lebanon Wards 1-2,State Senate,13,418,DEM,Melissa Winker,90
Dodge,Town Of Leroy Wards 1-2,State Senate,13,173,DEM,Melissa Winker,45
Dodge,Town Of Lomira Wards 1-3,State Senate,13,214,DEM,Melissa Winker,39
Dodge,Town Of Lowell Wards 1-4,State Senate,13,192,DEM,Melissa Winker,63
Dodge,Town Of Oak Grove Wards 1-5,State Senate,13,207,DEM,Melissa Winker,93
Dodge,Town Of Portland Wards 1-2,State Senate,13,193,DEM,Melissa Winker,71
Dodge,Town Of Rubicon Wards 1-3,State Senate,13,559,DEM,Melissa Winker,92
Dodge,Town Of Shields Ward 1,State Senate,13,163,DEM,Melissa Winker,55
Dodge,Town Of Theresa Wards 1-7,State Senate,13,214,DEM,Melissa Winker,43
Dodge,Town Of Westford Ward 3,State Senate,13,2,DEM,Melissa Winker,0
Dodge,Village Of Brownsville Ward 1,State Senate,13,142,DEM,Melissa Winker,41
Dodge,Village Of Clyman Ward 1,State Senate,13,55,DEM,Melissa Winker,18
Dodge,Village Of Hustisford Wards 1-2,State Senate,13,304,DEM,Melissa Winker,80
Dodge,Village Of Iron Ridge Ward 1,State Senate,13,122,DEM,Melissa Winker,31
Dodge,Village Of Kekoskee Wards 1-3,State Senate,13,163,DEM,Melissa Winker,42
Dodge,Village Of Lomira Wards 1-3,State Senate,13,284,DEM,Melissa Winker,78
Dodge,Village Of Lowell Ward 1,State Senate,13,43,DEM,Melissa Winker,11
Dodge,Village Of Neosho Ward 1,State Senate,13,124,DEM,Melissa Winker,37
Dodge,Village Of Reeseville Ward 1,State Senate,13,115,DEM,Melissa Winker,51
Dodge,Village Of Theresa Wards 1-3,State Senate,13,238,DEM,Melissa Winker,85
Dodge,"City Of Beaver Dam Wards 1,3,5,16",State Senate,13,480,DEM,Melissa Winker,280
Dodge,"City Of Beaver Dam Wards 2,6",State Senate,13,297,DEM,Melissa Winker,155
Dodge,"City Of Beaver Dam Wards 4,8,10,14-15",State Senate,13,551,DEM,Melissa Winker,340
Dodge,"City Of Beaver Dam Wards 7,12-13",State Senate,13,440,DEM,Melissa Winker,254
Dodge,"City Of Beaver Dam Wards 9,11",State Senate,13,493,DEM,Melissa Winker,298
Dodge,City Of Columbus Ward 9,State Senate,13,0,DEM,Melissa Winker,0
Dodge,City Of Hartford Wards 18-19,State Senate,13,3,DEM,Melissa Winker,1
Dodge,City Of Horicon Wards 1-8,State Senate,13,573,DEM,Melissa Winker,271
Dodge,City Of Juneau Wards 1-3,State Senate,13,322,DEM,Melissa Winker,161
Dodge,City Of Mayville Wards 1-8,State Senate,13,835,DEM,Melissa Winker,353
Dodge,City Of Watertown Wards 1-2,State Senate,13,633,DEM,Melissa Winker,249
Dodge,City Of Watertown Wards 3-4,State Senate,13,501,DEM,Melissa Winker,184
Dodge,City Of Watertown Wards 5-6,State Senate,13,471,DEM,Melissa Winker,175
Dodge,City Of Watertown Ward 7,State Senate,13,172,DEM,Melissa Winker,63
Jefferson,Town Of Aztalan Wards 1-2,State Senate,13,432,DEM,Melissa Winker,180
Jefferson,Town Of Concord Wards 1-3,State Senate,13,503,DEM,Melissa Winker,163
Jefferson,Town Of Farmington Wards 1-2,State Senate,13,309,DEM,Melissa Winker,104
Jefferson,Town Of Ixonia Wards 1-6,State Senate,13,1356,DEM,Melissa Winker,341
Jefferson,Town Of Lake Mills Wards 1-3,State Senate,13,663,DEM,Melissa Winker,390
Jefferson,Town Of Milford Wards 1-2,State Senate,13,295,DEM,Melissa Winker,118
Jefferson,Town Of Waterloo Ward 1,State Senate,13,201,DEM,Melissa Winker,92
Jefferson,Town Of Watertown Wards 1-2,State Senate,13,512,DEM,Melissa Winker,162
Jefferson,Village Of Cambridge Ward 1,State Senate,13,28,DEM,Melissa Winker,20
